"ngrams","I","n","S"
"dalches","A",1,"Astro"
"daldy","A",1,"Astro"
"daleesd","A",1,"Astro"
"dals","A",1,"Astro"
"dam","A",2,"Astro"
"dar","A",10,"Astro"
"darall","A",1,"Astro"
"daram","A",2,"Astro"
"daro","A",1,"Astro"
"dary","A",2,"Astro"
"dchaiin","A",1,"Astro"
"dchedal","A",1,"Astro"
"dchedy","A",1,"Astro"
"dcheedy","A",1,"Astro"
"dcheeody","A",1,"Astro"
"dcheeos","A",1,"Astro"
"dcheey","A",1,"Astro"
"dcheoldy","A",1,"Astro"
"dchey","A",1,"Astro"
"dchodar","A",1,"Astro"
"dchokchr","A",1,"Astro"
"dchol","A",2,"Astro"
"dchor","A",1,"Astro"
"dchreo","A",1,"Astro"
"dchy","A",1,"Astro"
"dchyky","A",1,"Astro"
"dechoekol","A",1,"Astro"
"deeety","A",1,"Astro"
"deeschdy","A",1,"Astro"
"dfar","A",1,"Astro"
"do","A",1,"Astro"
"doaro","A",1,"Astro"
"doiin","A",1,"Astro"
"dokechy","A",1,"Astro"
"dol","A",3,"Astro"
"dolaiin","A",1,"Astro"
"dolchedy","A",1,"Astro"
"doleed","A",1,"Astro"
"dor","A",1,"Astro"
"dorar","A",1,"Astro"
"dshol","A",1,"Astro"
"dy","A",7,"Astro"
"dylchsody","A",1,"Astro"
"echkolal","A",1,"Astro"
"eees","A",1,"Astro"
"ees","A",1,"Astro"
"eetees","A",1,"Astro"
"ek","A",1,"Astro"
"ekey","A",1,"Astro"
"eky","A",1,"Astro"
"eoporchy","A",1,"Astro"
"epaiin","A",1,"Astro"
"epairody","A",1,"Astro"
"epchy","A",1,"Astro"
"es","A",1,"Astro"
"etocho","A",1,"Astro"
"kcheoey","A",1,"Astro"
"kchochy","A",1,"Astro"
"kchoty","A",1,"Astro"
"keeodal","A",1,"Astro"
"keeody","A",1,"Astro"
"keey","A",2,"Astro"
"keo","A",1,"Astro"
"keol","A",2,"Astro"
"koiin","A",1,"Astro"
"koldy","A",1,"Astro"
"l","A",1,"Astro"
"lkshykchy","A",1,"Astro"
"ls","A",1,"Astro"
"o","A",3,"Astro"
"oaiin","A",1,"Astro"
"oalchdm","A",1,"Astro"
"oalcheol","A",1,"Astro"
"ochodare","A",1,"Astro"
"ochol","A",1,"Astro"
"ochory","A",1,"Astro"
"ockheey","A",1,"Astro"
"ockhy","A",2,"Astro"
"ocko","A",1,"Astro"
"ocphy","A",1,"Astro"
"octhchy","A",1,"Astro"
"octhey","A",1,"Astro"
"octhole","A",1,"Astro"
"octhys","A",1,"Astro"
"odaiiin","A",1,"Astro"
"odaiin","A",2,"Astro"
"odal","A",1,"Astro"
"odar","A",1,"Astro"
"odchd","A",1,"Astro"
"odchecthy","A",1,"Astro"
"oeecthy","A",1,"Astro"
"oeeeo","A",1,"Astro"
"oeees","A",1,"Astro"
"oeeos","A",1,"Astro"
"oekaiin","A",1,"Astro"
"oekain","A",1,"Astro"
"oekey","A",1,"Astro"
"oeteody","A",1,"Astro"
"ofcheor","A",1,"Astro"
"ofchsody","A",1,"Astro"
"ofor","A",1,"Astro"
"ofydy","A",1,"Astro"
"oiin","A",1,"Astro"
"okadar","A",1,"Astro"
"okain","A",1,"Astro"
"okal","A",2,"Astro"
"okar","A",2,"Astro"
"okardy","A",1,"Astro"
"okchdy","A",1,"Astro"
"okcheody","A",1,"Astro"
"okchoal","A",1,"Astro"
"okchoda","A",1,"Astro"
"okchol","A",1,"Astro"
"okchor","A",1,"Astro"
"okchy","A",1,"Astro"
"okechdaral","A",1,"Astro"
"okechey","A",1,"Astro"
"okechoy","A",1,"Astro"
"okedy","A",1,"Astro"
"okeechor","A",1,"Astro"
"okeedy","A",1,"Astro"
"okeeoda","A",1,"Astro"
"okeeodaiin","A",1,"Astro"
"okeeodal","A",1,"Astro"
"okeeody","A",2,"Astro"
"okeeos","A",1,"Astro"
"okees","A",1,"Astro"
"okeey","A",5,"Astro"
"okeo","A",2,"Astro"
"okeodaiin","A",1,"Astro"
"okeodly","A",1,"Astro"
"okeody","A",3,"Astro"
"okeol","A",2,"Astro"
"okeor","A",2,"Astro"
"okeos","A",1,"Astro"
"okeosar","A",1,"Astro"
"okesoe","A",1,"Astro"
"okey","A",3,"Astro"
"okeyteey","A",1,"Astro"
"okinaiir","A",1,"Astro"
"oko","A",1,"Astro"
"okoaiin","A",1,"Astro"
"okoaly","A",1,"Astro"
"okodaly","A",1,"Astro"
"okodas","A",1,"Astro"
"okol","A",4,"Astro"
"okolchy","A",1,"Astro"
"okoldy","A",1,"Astro"
"okolshy","A",1,"Astro"
"okor","A",2,"Astro"
"okos","A",2,"Astro"
"oksheeoda","A",1,"Astro"
"okshor","A",1,"Astro"
"oky","A",2,"Astro"
"okyld","A",1,"Astro"
"ol","A",3,"Astro"
"olar","A",1,"Astro"
"olcheesey","A",1,"Astro"
"oldy","A",2,"Astro"
"olol","A",1,"Astro"
"olor","A",1,"Astro"
"ols","A",2,"Astro"
"oly","A",2,"Astro"
"om","A",1,"Astro"
"opcheeol","A",1,"Astro"
"opcheey","A",1,"Astro"
"opcheody","A",1,"Astro"
"opchey","A",1,"Astro"
"opocphor","A",1,"Astro"
"opodchol","A",1,"Astro"
"or","A",6,"Astro"
"oraly","A",1,"Astro"
"oram","A",1,"Astro"
"oran","A",1,"Astro"
"orasaly","A",1,"Astro"
"orchoer","A",1,"Astro"
"oriid","A",1,"Astro"
"os","A",1,"Astro"
"osaiin","A",1,"Astro"
"osar","A",2,"Astro"
"oshchey","A",1,"Astro"
"osheey","A",1,"Astro"
"oshey","A",1,"Astro"
"ot","A",2,"Astro"
"otaldy","A",1,"Astro"
"otaly","A",1,"Astro"
"otar","A",2,"Astro"
"otardy","A",1,"Astro"
"otch","A",1,"Astro"
"otchal","A",1,"Astro"
"otchdy","A",2,"Astro"
"otcheodar","A",1,"Astro"
"otcheody","A",1,"Astro"
"otcheoly","A",1,"Astro"
"otchl","A",1,"Astro"
"otchodal","A",1,"Astro"
"otchody","A",1,"Astro"
"otchoky","A",1,"Astro"
"otchos","A",1,"Astro"
"otchoy","A",1,"Astro"
"otchy","A",1,"Astro"
"otcsey","A",1,"Astro"
"otechodor","A",1,"Astro"
"otechs","A",1,"Astro"
"otechy","A",1,"Astro"
"oteees","A",1,"Astro"
"oteeody","A",2,"Astro"
"oteeol","A",1,"Astro"
"oteeos","A",3,"Astro"
"otees","A",1,"Astro"
"oteesy","A",1,"Astro"
"oteey","A",8,"Astro"
"oteeys","A",1,"Astro"
"oteo","A",2,"Astro"
"oteochedy","A",1,"Astro"
"oteodaiin","A",2,"Astro"
"oteodain","A",1,"Astro"
"oteodal","A",1,"Astro"
"oteol","A",1,"Astro"
"oteool","A",1,"Astro"
"oteos","A",1,"Astro"
"oteotey","A",1,"Astro"
"oteoys","A",1,"Astro"
"otey","A",1,"Astro"
"otgoldl","A",1,"Astro"
"otochedy","A",1,"Astro"
"otodaiin","A",1,"Astro"
"otoky","A",1,"Astro"
"otol","A",3,"Astro"
"otolchcthy","A",1,"Astro"
"otoldos","A",1,"Astro"
"otolor","A",1,"Astro"
"otor","A",3,"Astro"
"otorkeol","A",1,"Astro"
"otory","A",1,"Astro"
"otosey","A",1,"Astro"
"otoshol","A",1,"Astro"
"oty","A",1,"Astro"
"otychdy","A",1,"Astro"
"otydy","A",1,"Astro"
"otykchs","A",1,"Astro"
"otys","A",1,"Astro"
"oydchy","A",1,"Astro"
"pchody","A",1,"Astro"
"psheody","A",1,"Astro"
"qeykeey","A",1,"Astro"
"qocheey","A",1,"Astro"
"qockheol","A",1,"Astro"
"qockhy","A",1,"Astro"
"qoeeckhy","A",1,"Astro"
"qoeeey","A",1,"Astro"
"qofair","A",1,"Astro"
"qofchy","A",1,"Astro"
"qoikeey","A",1,"Astro"
"qokchdar","A",1,"Astro"
"qokchdy","A",2,"Astro"
"qokcheor","A",1,"Astro"
"qokchy","A",1,"Astro"
"qokeechy","A",1,"Astro"
"qokeeedy","A",1,"Astro"
"qokeeody","A",1,"Astro"
"qokeey","A",4,"Astro"
"qokeochy","A",1,"Astro"
"qokeol","A",1,"Astro"
"qokey","A",1,"Astro"
"qokiiiody","A",1,"Astro"
"qokoaiin","A",1,"Astro"
"qokol","A",1,"Astro"
"qokool","A",1,"Astro"
"qoteeody","A",1,"Astro"
"qoteey","A",1,"Astro"
"qotoear","A",1,"Astro"
"r","A",1,"Astro"
"rain","A",1,"Astro"
"rar","A",1,"Astro"
"rcheodal","A",1,"Astro"
"ror","A",1,"Astro"
"s","A",6,"Astro"
"sainn","A",1,"Astro"
"sair","A",1,"Astro"
"sal","A",1,"Astro"
"salar","A",1,"Astro"
"salsoiin","A",1,"Astro"
"sar","A",4,"Astro"
"saral","A",1,"Astro"
"scheos","A",1,"Astro"
"seeder","A",1,"Astro"
"seekey","A",1,"Astro"
"sh","A",1,"Astro"
"shchey","A",1,"Astro"
"shchy","A",1,"Astro"
"shcthey","A",1,"Astro"
"shdar","A",1,"Astro"
"shdy","A",2,"Astro"
"sheal","A",1,"Astro"
"sheees","A",1,"Astro"
"sheely","A",1,"Astro"
"sheeor","A",1,"Astro"
"shees","A",1,"Astro"
"shekchy","A",1,"Astro"
"shekeey","A",2,"Astro"
"sheo","A",1,"Astro"
"sheody","A",1,"Astro"
"sheol","A",1,"Astro"
"sheos","A",1,"Astro"
"sheoy","A",1,"Astro"
"shes","A",4,"Astro"
"shety","A",1,"Astro"
"shey","A",7,"Astro"
"shhy","A",1,"Astro"
"shkeey","A",1,"Astro"
"sho","A",1,"Astro"
"shocthy","A",1,"Astro"
"shokchy","A",1,"Astro"
"shokeolls","A",1,"Astro"
"shokey","A",1,"Astro"
"shot","A",1,"Astro"
"shr","A",1,"Astro"
"shsdy","A",1,"Astro"
"shteody","A",1,"Astro"
"shy","A",1,"Astro"
"siiin","A",1,"Astro"
"sochy","A",1,"Astro"
"soeteed","A",1,"Astro"
"sol","A",1,"Astro"
"sor","A",2,"Astro"
"sory","A",1,"Astro"
"sosaiir","A",1,"Astro"
"soshe","A",1,"Astro"
"soy","A",1,"Astro"
"sses","A",1,"Astro"
"syshees","A",1,"Astro"
"tcheos","A",1,"Astro"
"teeodaiin","A",1,"Astro"
"teeody","A",1,"Astro"
"teeos","A",1,"Astro"
"teodain","A",1,"Astro"
"tochso","A",1,"Astro"
"todaiin","A",1,"Astro"
"toeeodcthy","A",1,"Astro"
"toees","A",1,"Astro"
"tol","A",1,"Astro"
"tsheeor","A",1,"Astro"
"y","A",2,"Astro"
"ycheety","A",1,"Astro"
"ycheody","A",1,"Astro"
"ychsy","A",1,"Astro"
"ydag","A",1,"Astro"
"ydaiin","A",2,"Astro"
"ydchos","A",1,"Astro"
"yeed","A",1,"Astro"
"yekees","A",1,"Astro"
"yfain","A",1,"Astro"
"ykaly","A",1,"Astro"
"ykar","A",1,"Astro"
"ykaras","A",1,"Astro"
"ykchdy","A",1,"Astro"
"ykchey","A",2,"Astro"
"ykchos","A",1,"Astro"
"ykchs","A",1,"Astro"
"ykchyr","A",1,"Astro"
"ykchys","A",1,"Astro"
"ykecho","A",1,"Astro"
"ykeechy","A",1,"Astro"
"ykeedal","A",1,"Astro"
"ykeeey","A",1,"Astro"
"ykeeody","A",1,"Astro"
"ykeey","A",1,"Astro"
"ykeeykeey","A",1,"Astro"
"ykeodar","A",1,"Astro"
"ykeody","A",3,"Astro"
"ykeos","A",1,"Astro"
"ykeoshe","A",1,"Astro"
"ykoaiin","A",1,"Astro"
"ykor","A",2,"Astro"
"yky","A",2,"Astro"
"ypair","A",1,"Astro"
"ypcheg","A",1,"Astro"
"yrl","A",1,"Astro"
"ysaldal","A",1,"Astro"
"yshesos","A",1,"Astro"
"yshey","A",1,"Astro"
"ytalchos","A",1,"Astro"
"ytchody","A",1,"Astro"
"ytchodyy","A",1,"Astro"
"ytchoy","A",1,"Astro"
"yteeoey","A",1,"Astro"
"yteod","A",1,"Astro"
"yteody","A",3,"Astro"
"yteoor","A",1,"Astro"
"yteos","A",1,"Astro"
"yto","A",2,"Astro"
"ytoaiin","A",1,"Astro"
"ytodal","A",1,"Astro"
"ytody","A",1,"Astro"
"ytoeopchey","A",1,"Astro"
"ytokar","A",1,"Astro"
"ytor","A",1,"Astro"
"ady","B",1,"Biology"
"aiiin","B",5,"Biology"
"aiin","B",30,"Biology"
"ain","B",6,"Biology"
"air","B",2,"Biology"
"al","B",21,"Biology"
"alaldy","B",1,"Biology"
"alchdy","B",1,"Biology"
"alchedy","B",1,"Biology"
"alchey","B",1,"Biology"
"aldy","B",2,"Biology"
"alol","B",2,"Biology"
"alom","B",1,"Biology"
"alory","B",1,"Biology"
"alshees","B",1,"Biology"
"aly","B",4,"Biology"
"am","B",3,"Biology"
"aol","B",1,"Biology"
"ar","B",20,"Biology"
"arol","B",5,"Biology"
"aror","B",2,"Biology"
"ary","B",4,"Biology"
"cfheey","B",1,"Biology"
"ch","B",2,"Biology"
"chal","B",7,"Biology"
"chaloly","B",1,"Biology"
"chaly","B",1,"Biology"
"cham","B",2,"Biology"
"char","B",5,"Biology"
"chary","B",1,"Biology"
"chcfhdy","B",1,"Biology"
"chchky","B",1,"Biology"
"chchty","B",1,"Biology"
"chckh","B",1,"Biology"
"chckhal","B",2,"Biology"
"chckhd","B",1,"Biology"
"chckhdy","B",5,"Biology"
"chckhedy","B",5,"Biology"
"chckheed","B",1,"Biology"
"chckhey","B",7,"Biology"
"chckhor","B",1,"Biology"
"chckhy","B",34,"Biology"
"chckhyd","B",1,"Biology"
"chcphdy","B",1,"Biology"
"chcphey","B",2,"Biology"
"chcphhy","B",1,"Biology"
"chcphy","B",1,"Biology"
"chcthdy","B",1,"Biology"
"chcthedy","B",2,"Biology"
"chcthey","B",1,"Biology"
"chcthhy","B",1,"Biology"
"chcthy","B",21,"Biology"
"chd","B",1,"Biology"
"chdain","B",1,"Biology"
"chdal","B",1,"Biology"
"chdam","B",1,"Biology"
"chdar","B",2,"Biology"
"chdol","B",1,"Biology"
"chdor","B",1,"Biology"
"chdy","B",20,"Biology"
"cheal","B",5,"Biology"
"chealor","B",1,"Biology"
"chealror","B",1,"Biology"
"chealy","B",2,"Biology"
"chear","B",4,"Biology"
"chechol","B",1,"Biology"
"checkhdy","B",1,"Biology"
"checkhey","B",1,"Biology"
"checkho","B",1,"Biology"
"checkhy","B",20,"Biology"
"checphedy","B",1,"Biology"
"checthedy","B",1,"Biology"
"checthey","B",1,"Biology"
"checthy","B",17,"Biology"
"ched","B",6,"Biology"
"chedaiin","B",5,"Biology"
"chedal","B",2,"Biology"
"chedar","B",4,"Biology"
"chedchey","B",1,"Biology"
"chedchy","B",1,"Biology"
"chedol","B",3,"Biology"
"chedor","B",1,"Biology"
"chedy","B",200,"Biology"
"chedykar","B",1,"Biology"
"chedyl","B",1,"Biology"
"chedyor","B",1,"Biology"
"cheeaiin","B",1,"Biology"
"cheedar","B",1,"Biology"
"cheedy","B",25,"Biology"
"cheeety","B",1,"Biology"
"cheef","B",1,"Biology"
"cheekey","B",1,"Biology"
"cheeky","B",9,"Biology"
"cheel","B",1,"Biology"
"cheen","B",1,"Biology"
"cheeol","B",2,"Biology"
"cheeor","B",1,"Biology"
"chees","B",5,"Biology"
"cheety","B",2,"Biology"
"cheey","B",39,"Biology"
"cheg","B",1,"Biology"
"chek","B",1,"Biology"
"chekam","B",1,"Biology"
"chekar","B",2,"Biology"
"chekeedy","B",1,"Biology"
"cheky","B",9,"Biology"
"cheokain","B",1,"Biology"
"cheoky","B",2,"Biology"
"cheol","B",26,"Biology"
"cheolchdy","B",1,"Biology"
"cheoly","B",1,"Biology"
"cheor","B",10,"Biology"
"cheory","B",1,"Biology"
"chep","B",1,"Biology"
"chepchedy","B",1,"Biology"
"chepy","B",1,"Biology"
"ches","B",9,"Biology"
"chesy","B",1,"Biology"
"chetas","B",1,"Biology"
"chetedy","B",2,"Biology"
"chetey","B",2,"Biology"
"chety","B",5,"Biology"
"chey","B",88,"Biology"
"chfaiin","B",1,"Biology"
"chkaiin","B",1,"Biology"
"chkal","B",1,"Biology"
"chkam","B",1,"Biology"
"chkar","B",1,"Biology"
"chkarol","B",1,"Biology"
"chkedy","B",3,"Biology"
"chkeedy","B",2,"Biology"
"chkeey","B",1,"Biology"
"chky","B",1,"Biology"
"chl","B",4,"Biology"
"chlaiiin","B",1,"Biology"
"chlchpsheey","B",1,"Biology"
"chldaiin","B",1,"Biology"
"chody","B",1,"Biology"
"chol","B",12,"Biology"
"cholchey","B",1,"Biology"
"cholkeeey","B",1,"Biology"
"cholo","B",1,"Biology"
"choly","B",1,"Biology"
"chor","B",1,"Biology"
"choty","B",1,"Biology"
"chpchedy","B",1,"Biology"
"chpsheedy","B",1,"Biology"
"chr","B",2,"Biology"
"chs","B",1,"Biology"
"chsdy","B",2,"Biology"
"chshy","B",1,"Biology"
"chtair","B",1,"Biology"
"chtal","B",1,"Biology"
"chtedy","B",1,"Biology"
"chtol","B",1,"Biology"
"chtorol","B",1,"Biology"
"chty","B",2,"Biology"
"chy","B",8,"Biology"
"chyteey","B",1,"Biology"
"ckhain","B",1,"Biology"
"ckhdy","B",1,"Biology"
"ckhedy","B",1,"Biology"
"ckhey","B",1,"Biology"
"ckhy","B",1,"Biology"
"ckol","B",1,"Biology"
"cpchy","B",1,"Biology"
"cphal","B",1,"Biology"
"cphar","B",1,"Biology"
"cphdor","B",1,"Biology"
"cphedy","B",1,"Biology"
"cphey","B",2,"Biology"
"cphol","B",1,"Biology"
"cseckhdy","B",1,"Biology"
"csedy","B",3,"Biology"
"cseedy","B",1,"Biology"
"cseeky","B",1,"Biology"
"cseey","B",1,"Biology"
"cseol","B",1,"Biology"
"cthal","B",1,"Biology"
"cthar","B",1,"Biology"
"cthcthey","B",1,"Biology"
"cthdy","B",2,"Biology"
"cthedy","B",3,"Biology"
"cther","B",1,"Biology"
"cthey","B",1,"Biology"
"cthol","B",1,"Biology"
"cthor","B",2,"Biology"
"d","B",3,"Biology"
"da","B",2,"Biology"
"dackhy","B",1,"Biology"
"dag","B",1,"Biology"
"daiidy","B",1,"Biology"
"daiiin","B",2,"Biology"
"daiin","B",82,"Biology"
"dail","B",1,"Biology"
"dain","B",16,"Biology"
"dainy","B",1,"Biology"
"dair","B",3,"Biology"
"dairol","B",1,"Biology"
"dal","B",65,"Biology"
"dalal","B",1,"Biology"
"dalary","B",1,"Biology"
"dalchedy","B",1,"Biology"
"daldy","B",4,"Biology"
"dalkar","B",1,"Biology"
"dalkeeey","B",1,"Biology"
"dalky","B",1,"Biology"
"dalo","B",2,"Biology"
"dalohey","B",1,"Biology"
"dalol","B",1,"Biology"
"dalom","B",1,"Biology"
"dalshdy","B",1,"Biology"
"dalshedy","B",1,"Biology"
"daly","B",6,"Biology"
"dam","B",8,"Biology"
"dar","B",63,"Biology"
"darchdar","B",1,"Biology"
"darchy","B",1,"Biology"
"daro","B",1,"Biology"
"darol","B",2,"Biology"
"darolsy","B",1,"Biology"
"daror","B",1,"Biology"
"dary","B",4,"Biology"
"daryry","B",1,"Biology"
"das","B",1,"Biology"
"dasy","B",1,"Biology"
"day","B",1,"Biology"
"dchdy","B",4,"Biology"
"dched","B",1,"Biology"
"dchedaly","B",1,"Biology"
"dchedy","B",9,"Biology"
"dcheedy","B",1,"Biology"
"dcheey","B",1,"Biology"
"dcheo","B",1,"Biology"
"dcheol","B",3,"Biology"
"dchey","B",1,"Biology"
"dchokol","B",1,"Biology"
"dchol","B",2,"Biology"
"dchor","B",1,"Biology"
"dchy","B",2,"Biology"
"dcsedy","B",1,"Biology"
"dedy","B",2,"Biology"
"deedy","B",2,"Biology"
"deeedy","B",1,"Biology"
"deey","B",1,"Biology"
"dkedy","B",2,"Biology"
"dkeey","B",1,"Biology"
"dkshey","B",1,"Biology"
"dl","B",5,"Biology"
"dly","B",1,"Biology"
"doiin","B",1,"Biology"
"doiis","B",1,"Biology"
"doin","B",1,"Biology"
"dokal","B",1,"Biology"
"dokedy","B",1,"Biology"
"dol","B",33,"Biology"
"dolchedy","B",1,"Biology"
"dolcheedy","B",1,"Biology"
"dolchl","B",1,"Biology"
"doldy","B",1,"Biology"
"doledy","B",1,"Biology"
"dolfchedy","B",1,"Biology"
"dolkedy","B",1,"Biology"
"dolol","B",1,"Biology"
"dor","B",8,"Biology"
"doraiin","B",1,"Biology"
"dotedy","B",1,"Biology"
"doteey","B",1,"Biology"
"dshdy","B",1,"Biology"
"dshedy","B",20,"Biology"
"dsheedal","B",1,"Biology"
"dsheedy","B",1,"Biology"
"dshees","B",1,"Biology"
"dsheey","B",2,"Biology"
"dsheol","B",1,"Biology"
"dshey","B",1,"Biology"
"dshol","B",1,"Biology"
"dsholyd","B",1,"Biology"
"dshor","B",1,"Biology"
"dy","B",51,"Biology"
"dykaiin","B",1,"Biology"
"dykedy","B",1,"Biology"
"dykeedy","B",2,"Biology"
"dykshy","B",1,"Biology"
"dyky","B",1,"Biology"
"dym","B",1,"Biology"
"dytedy","B",1,"Biology"
"dytey","B",1,"Biology"
"dyty","B",1,"Biology"
"eedy","B",1,"Biology"
"eeedy","B",1,"Biology"
"eeesal","B",1,"Biology"
"ees","B",1,"Biology"
"eesey","B",1,"Biology"
"eey","B",1,"Biology"
"efchedy","B",1,"Biology"
"ekedy","B",1,"Biology"
"epchey","B",1,"Biology"
"eses","B",1,"Biology"
"ety","B",1,"Biology"
"fcham","B",1,"Biology"
"fchedy","B",4,"Biology"
"fchor","B",1,"Biology"
"fshedy","B",1,"Biology"
"ikhey","B",1,"Biology"
"iphy","B",1,"Biology"
"ithey","B",1,"Biology"
"ithhy","B",1,"Biology"
"k","B",1,"Biology"
"kaiin","B",6,"Biology"
"kain","B",3,"Biology"
"kair","B",2,"Biology"
"kal","B",5,"Biology"
"kaldy","B",1,"Biology"
"kam","B",3,"Biology"
"kan","B",1,"Biology"
"kar","B",5,"Biology"
"kary","B",2,"Biology"
"kas","B",2,"Biology"
"kchdy","B",2,"Biology"
"kchedy","B",2,"Biology"
"kchey","B",3,"Biology"
"kchol","B",1,"Biology"
"kechdy","B",1,"Biology"
"kechey","B",1,"Biology"
"kedy","B",18,"Biology"
"keed","B",2,"Biology"
"keedy","B",18,"Biology"
"keeedy","B",3,"Biology"
"keeol","B",1,"Biology"
"keeoly","B",1,"Biology"
"keeor","B",1,"Biology"
"keeshy","B",1,"Biology"
"keey","B",4,"Biology"
"keol","B",1,"Biology"
"keoly","B",1,"Biology"
"kesd","B",1,"Biology"
"key","B",2,"Biology"
"kol","B",2,"Biology"
"kolchdy","B",1,"Biology"
"koldy","B",2,"Biology"
"kolpy","B",1,"Biology"
"kolshd","B",1,"Biology"
"kor","B",1,"Biology"
"korchy","B",1,"Biology"
"kotaly","B",1,"Biology"
"kshdy","B",1,"Biology"
"kshedy","B",1,"Biology"
"ksheol","B",1,"Biology"
"kshey","B",2,"Biology"
"ky","B",4,"Biology"
"l","B",11,"Biology"
"laiin","B",1,"Biology"
"lal","B",2,"Biology"
"lam","B",1,"Biology"
"lar","B",1,"Biology"
"las","B",1,"Biology"
"lchar","B",1,"Biology"
"lchcphedy","B",1,"Biology"
"lchdy","B",4,"Biology"
"lcheam","B",1,"Biology"
"lchear","B",1,"Biology"
"lcheckhey","B",1,"Biology"
"lcheckhy","B",3,"Biology"
"lched","B",3,"Biology"
"lchedal","B",1,"Biology"
"lchedar","B",1,"Biology"
"lchedy","B",51,"Biology"
"lcheedy","B",2,"Biology"
"lcheeor","B",1,"Biology"
"lcheey","B",3,"Biology"
"lcheol","B",2,"Biology"
"lchey","B",16,"Biology"
"lchl","B",1,"Biology"
"lchol","B",1,"Biology"
"lchor","B",2,"Biology"
"lchpchdy","B",1,"Biology"
